Application_ID,Source of detection,Identified Phishing/Suspected Domain Name,Corresponding CSE Domain Name,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label),Date of detection (DD-MM-YYYY),Time of detection (HH-MM-SS),Remarks
,dnstwist_dns_active,http://airlndia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://air-india.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=1.000000;source_file=dnstwist
,dnstwist_dns_active,http://airfindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.960000;source_file=dnstwist
,dnstwist_dns_active,http://aireindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.960000;source_file=dnstwist
,dnstwist_dns_active,http://aierindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.960000;source_file=dnstwist
,dnstwist_dns_active,http://airdindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.960000;source_file=dnstwist
,dnstwist_dns_active,http://airindioa.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.960000;source_file=dnstwist
,dnstwist_dns_active,http://airindiua.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.960000;source_file=dnstwist
,dnstwist_dns_active,http://airindoia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.960000;source_file=dnstwist
,dnstwist_dns_active,http://aitrindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.960000;source_file=dnstwist
,dnstwist_dns_active,http://sairindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.960000;source_file=dnstwist
,dnstwist_dns_active,http://airoindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.960000;source_file=dnstwist
,dnstwist_dns_active,http://airndia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.956522;source_file=dnstwist
,dnstwist_dns_active,http://airinia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.956522;source_file=dnstwist
,dnstwist_dns_active,http://aiindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.956522;source_file=dnstwist
,dnstwist_dns_active,http://airinda.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.956522;source_file=dnstwist
,dnstwist_dns_active,http://airindi.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.956522;source_file=dnstwist
,dnstwist_dns_active,http://arindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.956522;source_file=dnstwist
,dnstwist_dns_active,http://airidia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.956522;source_file=dnstwist
